Model Details
Model: NeoHookean, Initial Guess: 1, Bounds: unbounded, RMSE: 0.095, BIC: -490.647

Predictions
Note2: thisisjustatestupload2

Note: test2

x,y_original,NeoHookean_ypred
1.0,0.0,0.0
1.006,0.009,0.0061612864832308375
1.012,0.009,0.012323010442165416
1.018,0.009,0.0184855999050675
1.023,0.011364,0.023622054131525957
1.029,0.009,0.029787308945839402
1.035,0.011364,0.03595458849466896
1.041,0.011364,0.042124283903964756
1.047,0.011,0.048296777334038955
1.053,0.011,0.05447244223499724
1.059,0.017045,0.060651643593486716
1.064,0.017,0.06580393714728648
1.07,0.023,0.07199054282589724
1.076,0.023,0.07818167518354492
1.082,0.028409,0.08437766890332789
1.088,0.028,0.09057885128562927
1.094,0.031,0.09678554245056789
1.1,0.034,0.10299805553382341
1.105,0.039773,0.10817981827827423
1.111,0.039773,0.11440379573793084
1.117,0.045455,0.12063444603739228
1.123,0.045,0.12687205724096723
1.129,0.051,0.13311691128936545
1.135,0.051,0.13936928416155475
1.14,0.054,0.14458553352249257
1.146,0.056818,0.15085238852389013
1.152,0.06,0.15712751326575375
1.158,0.06,0.16341116228349498
1.164,0.068182,0.16970358486437293
1.17,0.073864,0.17600502518206168
1.175,0.073864,0.18126328670677963
1.181,0.079545,0.18758187726538172
1.187,0.085227,0.1939101507420849
1.193,0.09,0.20024833288274776
1.199,0.096,0.20659664491454632
1.205,0.102273,0.21295530365847207
1.21,0.104,0.21826224313576562
1.216,0.113636,0.224640419797092
1.222,0.118,0.23102953451079883
1.228,0.125,0.23742978819088645
1.234,0.128,0.24384137784378948
1.24,0.136364,0.2502644966629148
1.245,0.142045,0.2556260394854484
1.251,0.153409,0.26207078458771604
1.257,0.153409,0.26852758632337564
1.263,0.156,0.2749966240969669
1.269,0.168,0.28147807392003626
1.275,0.17,0.2879721084909719
1.28,0.173,0.2933935396703877
1.286,0.181818,0.29991108412957473
1.292,0.181818,0.30644168532664556
1.298,0.193182,0.3129855039596382
1.304,0.2,0.3195426977689579
1.31,0.214,0.32611342160510975
1.315,0.215909,0.33159947000207307
1.321,0.227273,0.3381953917409345
1.327,0.238636,0.34480526712519566
1.333,0.248,0.3514292405222368
1.339,0.261364,0.358067453711823
1.345,0.261364,0.36472004594381996
1.35,0.278409,0.3702749555448764
1.356,0.284091,0.3769542628458464
1.362,0.293,0.38364833047732727
1.368,0.306818,0.39035728849881157
1.374,0.31,0.39708126469801064
1.38,0.323864,0.40382038464024045
1.385,0.33,0.4094479751472758
1.391,0.340909,0.41621517755609083
1.397,0.355,0.42299786782340065
1.403,0.366,0.42979616343023336
1.409,0.380682,0.4366101798565207
1.414,0.386,0.4423006177956371
1.42,0.397727,0.4491437491797312
1.426,0.418,0.45600291807626153
1.432,0.426136,0.4628782326780436
1.438,0.44,0.46976979937217095
1.444,0.454545,0.4766777227775306
1.449,0.465909,0.48244689460460716
1.455,0.482,0.48938507131039005
1.461,0.5,0.4963398918617099
1.467,0.505682,0.5033114544304248
1.473,0.527,0.5102998555888513
1.479,0.539773,0.5173051903422091
1.484,0.551136,0.5231559721676303
1.49,0.565,0.5301925935204591
1.496,0.585227,0.5372464094134087
1.502,0.602,0.5443175091311749
1.508,0.619318,0.551405980537477
1.514,0.631,0.5585119101032142
1.519,0.647727,0.5644469156085613
1.525,0.653409,0.5715850718715598
1.531,0.668,0.5787409239690159
1.537,0.682,0.5859145532817459
1.542,0.704545,0.5919062153627508
1.548,0.715909,0.5991126434170465
1.554,0.738636,0.6063370724725288
1.56,0.75,0.6135795791890142
1.566,0.761364,0.6208402390514562
1.572,0.78,0.6281191263923664
1.577,0.792,0.6341988424565008
1.583,0.808,0.6415113361622675
1.589,0.818182,0.6488422618865881
1.595,0.835227,0.6561916897429426
1.601,0.855,0.6635596887937667
1.606,0.886364,0.6697139234434712
